vlm_name,condition,category,count,cer_mean,wer_mean,bleu_mean
internvl2,baseline,excluded_short_gt,8,0.562151,0.793315,0.645919
internvl2,baseline,long_documents,19,0.443978,0.526686,0.671187
internvl2,baseline,medium_documents,47,0.235930,0.304393,0.752996
internvl2,baseline,short_documents,26,1.822043,4.720226,0.724720
internvl2,jpeg_QF10.0,excluded_short_gt,8,54.342507,51.438906,0.500317
internvl2,jpeg_QF10.0,long_documents,19,0.661346,0.790579,0.492007
internvl2,jpeg_QF10.0,medium_documents,47,0.459982,0.571600,0.585300
internvl2,jpeg_QF10.0,short_documents,26,0.628346,0.833039,0.514195
internvl2,jpeg_QF30.0,excluded_short_gt,8,0.568117,0.798804,0.620351
internvl2,jpeg_QF30.0,long_documents,19,0.418144,0.511649,0.695976
internvl2,jpeg_QF30.0,medium_documents,47,0.421545,0.504825,0.685792
internvl2,jpeg_QF30.0,short_documents,26,2.164889,3.599813,0.616537
internvl2,jpeg_QF50.0,excluded_short_gt,8,0.552641,0.798932,0.639234
internvl2,jpeg_QF50.0,long_documents,19,0.409683,0.477592,0.679026
internvl2,jpeg_QF50.0,medium_documents,47,0.303817,0.351447,0.711080
internvl2,jpeg_QF50.0,short_documents,26,2.073982,5.236753,0.635143
internvl2,jpeg_QF70.0,excluded_short_gt,8,0.570025,0.785962,0.620421
internvl2,jpeg_QF70.0,long_documents,19,0.488461,0.580166,0.642578
internvl2,jpeg_QF70.0,medium_documents,47,0.386792,0.473293,0.706609
internvl2,jpeg_QF70.0,short_documents,26,2.003326,5.141557,0.676055
internvl2,jpeg_QF90.0,excluded_short_gt,8,0.564907,0.791234,0.673852
internvl2,jpeg_QF90.0,long_documents,19,0.556797,0.680670,0.606035
internvl2,jpeg_QF90.0,medium_documents,47,0.231485,0.299377,0.743758
internvl2,jpeg_QF90.0,short_documents,26,1.983671,5.115604,0.701724
internvl2,neural_q1.0,excluded_short_gt,8,0.587171,0.810724,0.606504
internvl2,neural_q1.0,long_documents,19,0.403868,0.487068,0.646698
internvl2,neural_q1.0,medium_documents,47,0.370469,0.460984,0.667144
internvl2,neural_q1.0,short_documents,26,0.735465,1.091127,0.525291
internvl2,neural_q3.0,excluded_short_gt,8,0.559986,0.796381,0.642471
internvl2,neural_q3.0,long_documents,19,0.557308,0.672833,0.605033
internvl2,neural_q3.0,medium_documents,47,0.374475,0.490959,0.715345
internvl2,neural_q3.0,short_documents,26,2.837479,7.327179,0.637724
internvl2,neural_q6.0,excluded_short_gt,8,0.561167,0.793315,0.632602
internvl2,neural_q6.0,long_documents,19,0.458187,0.517424,0.652349
internvl2,neural_q6.0,medium_documents,47,0.374936,0.458434,0.732446
internvl2,neural_q6.0,short_documents,26,2.066609,7.357382,0.664717
qwen2-vl,baseline,excluded_short_gt,8,0.000000,0.000000,1.000000
qwen2-vl,baseline,long_documents,19,0.000000,0.000000,1.000000
qwen2-vl,baseline,medium_documents,47,0.000000,0.000000,1.000000
qwen2-vl,baseline,short_documents,26,0.000000,0.000000,1.000000
qwen2-vl,jpeg_QF10.0,excluded_short_gt,8,0.432431,0.629202,0.746181
qwen2-vl,jpeg_QF10.0,long_documents,19,0.037135,0.066578,0.913302
qwen2-vl,jpeg_QF10.0,medium_documents,47,0.060962,0.086397,0.882335
qwen2-vl,jpeg_QF10.0,short_documents,26,0.137237,0.176947,0.781982
qwen2-vl,jpeg_QF30.0,excluded_short_gt,8,0.077973,0.108502,0.870931
qwen2-vl,jpeg_QF30.0,long_documents,19,0.007353,0.019519,0.971845
qwen2-vl,jpeg_QF30.0,medium_documents,47,0.058083,0.071522,0.910491
qwen2-vl,jpeg_QF30.0,short_documents,26,0.122297,0.148410,0.850818
qwen2-vl,jpeg_QF50.0,excluded_short_gt,8,0.040157,0.064442,0.899436
qwen2-vl,jpeg_QF50.0,long_documents,19,0.020346,0.032318,0.959208
qwen2-vl,jpeg_QF50.0,medium_documents,47,0.038241,0.062683,0.919222
qwen2-vl,jpeg_QF50.0,short_documents,26,0.096889,0.111958,0.885602
qwen2-vl,jpeg_QF70.0,excluded_short_gt,8,0.466654,0.751207,0.818889
qwen2-vl,jpeg_QF70.0,long_documents,19,0.052443,0.067024,0.924325
qwen2-vl,jpeg_QF70.0,medium_documents,47,0.052823,0.069926,0.917012
qwen2-vl,jpeg_QF70.0,short_documents,26,0.102441,0.129896,0.875732
qwen2-vl,jpeg_QF90.0,excluded_short_gt,8,0.012008,0.030314,0.956656
qwen2-vl,jpeg_QF90.0,long_documents,19,0.045785,0.048885,0.941337
qwen2-vl,jpeg_QF90.0,medium_documents,47,0.018414,0.031482,0.960204
qwen2-vl,jpeg_QF90.0,short_documents,26,0.101694,0.124779,0.879191
qwen2-vl,neural_q1.0,excluded_short_gt,8,0.108086,0.217116,0.839361
qwen2-vl,neural_q1.0,long_documents,19,0.069490,0.093202,0.888762
qwen2-vl,neural_q1.0,medium_documents,47,0.066574,0.096557,0.869998
qwen2-vl,neural_q1.0,short_documents,26,0.097824,0.119723,0.852776
