vlm_name,compression_type,compression_level,condition,count,cer_mean,cer_std,cer_median,wer_mean,wer_std,wer_median,bleu_mean,bleu_std,bleu_median
internvl2,jpeg,10.000000,jpeg_QF10.0,100,4.852618,43.210331,0.264118,4.750565,40.790579,0.378595,0.542289,0.329478,0.585512
internvl2,jpeg,30.000000,jpeg_QF30.0,100,0.885894,4.177303,0.165590,1.334337,7.127097,0.203088,0.664485,0.315514,0.801481
internvl2,jpeg,50.000000,jpeg_QF50.0,100,0.804080,4.142334,0.147819,1.681393,11.496116,0.235125,0.679498,0.304974,0.822585
internvl2,jpeg,70.000000,jpeg_QF70.0,100,0.841067,4.170448,0.148423,1.732361,11.503690,0.201987,0.679604,0.305106,0.795262
internvl2,jpeg,90.000000,jpeg_QF90.0,100,0.775537,4.138512,0.125918,1.663390,11.496892,0.157006,0.701069,0.296241,0.840378
internvl2,neural,1.000000,neural_q1.0,100,0.489050,0.899749,0.186589,0.657756,1.257705,0.252082,0.621526,0.315391,0.727517
internvl2,neural,3.000000,neural_q3.0,100,1.064435,6.128350,0.162560,2.327366,17.043865,0.215736,0.668374,0.305645,0.803168
internvl2,neural,6.000000,neural_q6.0,100,0.845487,4.155770,0.160907,2.290159,17.014707,0.212234,0.691631,0.307831,0.834526
qwen2-vl,jpeg,10.000000,jpeg_QF10.0,100,0.105984,0.307692,0.011345,0.149599,0.425528,0.029095,0.851235,0.223300,0.952162
qwen2-vl,jpeg,30.000000,jpeg_QF30.0,100,0.066731,0.167813,0.007763,0.084591,0.183824,0.019085,0.903468,0.179296,0.972399
qwen2-vl,jpeg,50.000000,jpeg_QF50.0,100,0.050243,0.128552,0.003190,0.069866,0.146084,0.012180,0.916495,0.160198,0.979221
qwen2-vl,jpeg,70.000000,jpeg_QF70.0,100,0.098758,0.350139,0.002699,0.139469,0.544963,0.009081,0.899819,0.195581,0.987389
qwen2-vl,jpeg,90.000000,jpeg_QF90.0,100,0.044755,0.145514,0.002556,0.058952,0.167215,0.008783,0.935272,0.167737,0.987389
qwen2-vl,neural,1.000000,neural_q1.0,100,0.078574,0.162080,0.007176,0.111587,0.207852,0.021422,0.866634,0.215924,0.963495
qwen2-vl,neural,3.000000,neural_q3.0,100,0.095867,0.419035,0.002709,0.121777,0.523360,0.009137,0.906133,0.205829,0.983274
qwen2-vl,neural,6.000000,neural_q6.0,100,0.076258,0.412195,0.001188,0.097913,0.516788,0.004496,0.935380,0.180251,0.993389
