prediction_id,image_id,vlm_name,compression_type,compression_level,category,cer,wer,bleu,gt_length,pred_length,length_ratio,condition
1,104,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,2651,2651,1.000000,baseline
2,96,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,1952,1952,1.000000,baseline
3,80,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,1636,1636,1.000000,baseline
4,13,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,50,50,1.000000,baseline
5,1,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,1204,1204,1.000000,baseline
6,59,qwen2-vl,baseline,,long_documents,0.000000,0.000000,1.000000,4938,4938,1.000000,baseline
37,46,qwen2-vl,baseline,,long_documents,0.000000,0.000000,1.000000,5960,5960,1.000000,baseline
7,34,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,803,803,1.000000,baseline
8,41,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,2197,2197,1.000000,baseline
9,91,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,1355,1355,1.000000,baseline
10,98,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,2067,2067,1.000000,baseline
11,2,qwen2-vl,baseline,,long_documents,0.000000,0.000000,1.000000,3846,3846,1.000000,baseline
12,64,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,2264,2264,1.000000,baseline
38,36,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,3392,3392,1.000000,baseline
39,4,qwen2-vl,baseline,,medium_documents,0.000000,0.000000,1.000000,2864,2864,1.000000,baseline
40,8,qwen2-vl,baseline,,long_documents,0.000000,0.000000,1.000000,4976,4976,1.000000,baseline
93,72,qwen2-vl,baseline,,excluded_short_gt,0.000000,0.000000,1.000000,63,63,1.000000,baseline
13,94,qwen2-vl,baseline,,short_documents,0.000000,0.000000,1.000000,1055,1055,1.000000,baseline
